부위,질환명,정의,원인,증상,관련질환,진료과
배,간 전이(Liver Metastasis),간 전이는 간 이외의 다른 부위에서 생긴 암세포가 간으로 퍼진 악성 종양을 의미합니다.,"간은 다른 장기에 비해 크고 혈액 공급이 풍부하여 여과 작용을 합니다. 따라서 다른 부위의 암세포가 혈액을 타고 간으로 전이될 확률이 높습니다. 원발 부위에서 간으로 잘 전이되는 암으로는 위암, 췌장암, 대장암, 유방암, 폐암, 악성 흑색종 등이 있습니다.","간 전이의 경우 원발성 암의 증상만 나타나는 경우가 많습니다. 발열, 발한, 무기력, 식욕 부진, 체중 감소 등의 증상이 나타나기도 합니다. 드물게 간이 커짐으로써 복부 팽창이나 당기는 증상이 나타날 수 있습니다. 비장이 커지면 황달은 정상이거나 심하지 않는 경우가 많은데, 황달이 심해지면 담도의 침범을 의심할 수 있습니다.","대장암, 췌장암, 식도암, 위암, 폐암, 유방암, 악성 흑색종",종양내과
배,간 혈관종(Hepatic hemangioma),"혈관종이란 혈관 조직이 비정상적으로 증식, 확장하여 뭉쳐서 덩어리를 이룬 것입니다. 피부나 위장관 등 신체의 다른 곳에서도 발생할 수 있으나 간 혈관종이 가장 흔하게 발생합니다.","간 혈관종은 간에 발생하는 양성 종양 가운데 가장 흔한 것이지만, 그 원인은 알려져 있지 않습니다. 주로 여성에게서 더 많이 발견되며, 임신하거나 여성호르몬인 에스트로겐을 투여하면 크기가 커질 수 있기 때문에 혈관종의 발생 혹은 성장이 여성호르몬과 관련이 있을 것이라는 추측이 있습니다. 그러나 이들의 직접적인 관계가 뚜렷하게 밝혀지지는 않았습니다.","간 혈관종은 대부분이 작고 증상이 없어 모르고 지나가는 경우가 많습니다. 최근에 건강검진이 활성화되면서 초음파 검사를 통해 우연히 발견하는 경우가 많습니다. 혈관종이 여러 개이거나 큰 경우에는 간혹 통증 등의 증상을 일으킬 수도 있습니다. 지름이 4cm가 넘는 경우를 거대 혈관종이라고 하는데, 이 경우 복통 혹은 복부 불편감이 나타날 수 있습니다. 식사를 조금만 해도 배가 부른 포만감, 구역, 구토 등의 증상이 나타날 수 있습니다. 또한 종양이 복부의 다른 장기를 누르거나 밀어서 증상을 유발할 수도 있습니다. 이러한 증상은 몇 개월 혹은 몇 년간 지속될 수 있습니다. 드물게 큰 혈관종이 터지는 경우가 있는데, 이때는 심한 통증과 복강 내 출혈이 발생하며 심한 경우 생명이 위태로울 수 있습니다.",간의 양성 신생물,소화기내과
배,간경화(Liver cirrhosis),"간경화는 학술적 병명인 '간경변증'의 일반화된 명칭입니다. 간세포 손상(간염)이 장기간 지속되면 간에 흉터가 쌓이는 간섬유화증이 진행되며, 간섬유화증이 간 전반에 걸쳐 진행되면 간경변증이 됩니다.","우리나라에서 발병하는 간경변증의 원인으로는 만성 B형 간염이 약 70% 정도로 가장 많고, 알코올성 간염, 만성 C형 간염이 그다음으로 많습니다. 그 외에도 지방간염, 자가 면역성 간염, 경화성 담관염 및 윌슨병 등의 유전 질환도 간경변을 유발할 수 있습니다.","간경변증은 초기에 대부분 증상이 없습니다. 간경변증이 많이 진행한 이후부터 증상이 나타나는데, 대부분 합병증 형태로 나타나며 이 경우를 ‘비대상성 간경변증’이라고 합니다. 식욕 부진, 소화불량, 복부 불쾌감 등 비특이적 증상이 나타날 수 있습니다. 복수가 차면 복부 팽만감과 하지 부종이 발생하며 심하면 숨이 차기도 합니다.","간세포암, 자가면역성 간염, 만성 B형 간염, 만성 C형 간염, 간염, 간성 뇌증, 원발성 담즙성 경화증",소화기내과
배,간내 담석(IHD stone),"간내 담석은 간 내부의 담도에 결석이 생기는 것을 의미합니다. 색소성 담석이 주를 이루며, 서구화된 식사로 인한 콜레스테롤 담석이 늘고 있습니다. 색소성 담석은 담즙색소인 빌리루빈으로 구성되어 있습니다. 콜레스테롤 담석은 90% 이상이 콜레스테롤로 구성된 백색의 순수 콜레스테롤 담석과 콜레스테롤과 빌리루빈이 혼합된 형태의 혼합석이 있습니다.","간내 담석은 간 우엽보다 간 좌엽에서 더 많이 발생합니다. 이는 좌엽의 담도가 우엽의 담도보다 더 길고 예각에 가까워 담즙이 더 잘 정체되기 때문입니다. 간디스토마, 담도 협착 등으로 인해 간 담도에서 결석이 발생하며, 담관염이 반복되면서 결석이 더 많아집니다.","단순한 간내 담석만 있는 경우 담석이 담도를 막기 전까지는 증상이 잘 나타나지 않습니다. 그래서 건강검진에서 우연히 발견되는 경우가 많습니다. 소화불량, 고열, 상복부 통증, 황달 등의 증상이 나타나기도 합니다. 담석으로 인해 담도가 막히거나 간내 담도가 좁아지면 이에 따라 담즙을 만들어 내는 기능이 저하되고 간 기능도 저하됩니다.","담관암, 간세포암, 담석",소화기내과
배,간농양(Liver abscess),간농양은 세균이나 기생충에 의해 간 안에 고름집(농양)이 생기는 것을 의미합니다.,정상인의 간에는 간농양이 잘 생기지 않습니다. 다만 간에서 담즙이 배출되는 담관이 막히면 정체된 담즙 내에서 세균이 증식하며 농양을 일으킬 수 있습니다. 혈액 안에서 세균이 자라는 균혈증 때문에 농양이 생기기도 합니다.,"화농성 간농양은 미열 및 오한, 상복부 통증, 오심(구역질), 구토, 설사, 무기력 등 몸에 염증이 있을 때 나타나는 소견을 보입니다. 그러나 다른 질환(감기, 몸살 등)으로 잘못 진단되는 경우가 많습니다. 간농양이 심할 경우 상복부를 눌렀을 때 통증이 있으며, 간이 커져 있거나 황달(빌리루빈이 침착되어 얼굴이나 몸이 노랗게 되는 것)이 오기도 합니다. 따라서, 간농양이 의심되는 경우 혈액 검사와 간 초음파 검사를 시행하는 것이 중요합니다.",아메바성 간농양,감염내과
배,간디스토마(Clonorchisis sinensis),간디스토마(간흡충증)는 민물고기를 날로 먹거나 덜 익혀 먹어서 감염되는 식품 매개성 기생충 질환입니다. 기생충이 우리 몸 안에 들어와 간 담관 안에서 기생하며 증상을 일으킵니다. 주로 강과 호수 주변 지역에서 많이 발생합니다. 성인 남성의 감염률이 더 높습니다.,"간디스토마의 충체 크기는 8~15mm x 1.5~4.0mm 정도입니다. 충체는 투명하고 납작한 선홍색 버들잎 모양이며, 앞부분은 뾰족하고 뒷부분은 둥그렇습니다.","간흡충은 주로 간이나 간 밖의 담관, 담낭 속에 살면서 담관이나 담낭을 자극합니다. 여기에 이차적인 세균 침입으로 심한 염증을 일으켜 담관염이나 담낭염을 유발하기도 합니다. 많은 경우 간흡충이 간 내 담관에 감염되면 담도를 막아 담도 폐쇄를 일으켜 담즙이 정체됩니다. 이 상태에서 죽은 충체나 충란이 핵이 되어 담석이 생길 수도 있습니다. 이러한 담도 폐쇄 및 만성적인 염증 등의 증상이 계속되면 담관암이 생길 수 있으며, 간암을 일으킨다는 보고도 있습니다.",간농양,소화기내과
배,간문부 담관암(Klatskin's tumor),간문부 담관암(클라츠킨 종양)은 좌우 양측 간내 담관과 이들이 만나는 부위인 간문부에 발생하는 암을 의미합니다.,"간문부 담관에 생기는 담관암을 유발하는 위험 요인으로는 담석증, 간디스토마(간흡충증), 담관낭, 궤양성 대장염, 원발성 경화성 담관염, 선천성 간섬유증, 만성 장티푸스 보균 등이 있습니다. 그러나 원인을 확실하게 알 수 없는 경우가 많습니다.","담관이 막혀 담즙이 십이지장으로 내려가지 않으면 대부분 황달이 나타납니다. 또한 전신 소양감, 회색변, 갈색뇨가 동반됩니다. 적절한 조치를 취하지 않으면 혈액 내 빌리루빈이 20~30mg/dL 이상으로 심하게 상승할 수 있습니다.","담석, 총담관 낭, 총담관 담석, 궤양성 대장염, 경화성 담관염, 간디스토마",소화기내과
배,간성 뇌증(Hepatic encephalopathy),간성 뇌증은 간경변증의 말기에 나타나 의식이 나빠지거나 행동에 변화가 생기는 것을 의미합니다.,"간은 인체의 화학 공장이라 불릴 만큼 매우 중요한 대사 작용을 합니다. 간은 우리 몸에서 해로운 독성 물질을 해독하는 일을 합니다. 우리 몸에서 단백질이 분해되면 암모니아가 생기고, 이 암모니아는 간에서 요소로 바뀌어 몸 밖으로 배출됩니다. 그러나 간경변증이 심해 간의 기능이 현저히 떨어지면 암모니아가 그대로 남아 혈액으로 순환하며 뇌에 나쁜 영향을 미치거나 대장에 머물러 있는 대변을 통해 간성 뇌증을 유발합니다. 간성 뇌증을 유발하는 원인으로는 과다한 단백질 섭취, 위장관의 출혈로 혈변과 피를 토하는 것, 변비, 심한 탈수, 복막염 등의 각종 감염증, 수분-전해질 불균형, 신기능 저하 등을 들 수 있습니다.",간성 뇌증의 증상은 다음과 같은 단계를 거쳐 진행됩니다.,"간경화, 알코올성 간질환, 간염, 식도 정맥류, 복막염",소화기내과
배,간세포암(Hepatocellular carcinoma),"간에서 발생하는 악성 종양의 약 90%는 간세포암이고, 약 10%는 담관세포암이며, 그 외 아주 일부가 기타 암입니다. 간세포암이 가장 흔하므로 흔히 '간암'이라고 하면 간세포암을 지칭합니다.","간암의 약 80%는 간경변증이 있는 상태에서 발생하며, 나머지 20%는 만성 B형 혹은 C형 간염에서 발생합니다. 그러나, 반대로 만성 간염이나 간경변증이 있다고 해서 모두 간암이 발생하는 것은 아닙니다. 만성 B형 간염 환자라도 항바이러스제 등으로 적절하게 치료하여 간경변증으로의 진행 혹은 악화를 막는다면 간암 발병을 현저하게 감소시킬 수 있습니다.","간암은 초기에 증상이 나타나지 않는 경우가 많습니다. 그러나 간혹 우상복부 통증, 체중 감소, 복부 종괴 등의 비특이적인 증상을 호소하기도 하며, 간암이 진행된 경우에는 황달이 발생하기도 합니다. 이러한 증상이 나타나면 병이 상당히 진행된 경우가 많습니다. 따라서 간암이 발생할 확률이 높은 만성 간염이나 간경변 환자는 정기적인 검사를 통해 증상이 없는 조기에 간암을 발견하여 치료하는 것이 중요합니다. 한편 황달 발생 원인은 대부분 급만성 간염입니다.","간 전이, 만성 B형 간염, 간염, 간농양",소화기내과
배,간신 증후군(Hepatorenal syndrome),간신 증후군이란 신장 자체에 문제가 없었으나 간경변증이나 급성 간부전 등 간의 문제로 인하여 신장 기능이 급격하게 악화되는 상태를 의미합니다.,"간신 증후군은 심한 간경변증으로 인해 문맥 고혈압이 극도로 진행되면 내장 혈관이 확장되는 것에 대한 반응으로 신혈관이 수축되어 생기는 현상으로 보고 있습니다. 신장 기능이 악화되면 소변 생산이 떨어지고 이로 인해 혈액 속에 질소를 함유한 노폐물이 축척되는 고질소혈증이 옵니다. 간신 증후군의 위험 요인으로는 알코올성 간염, 급성 간부전, 감염, 위장 출혈이 있습니다.","간 기능과 신장 기능이 악화되면서 소변량 감소, 검은색 소변, 노란색 피부, 피부 질환, 체중 증가, 복부 팽창, 메스꺼움과 구토, 치매, 정신 착란, 혼돈 등의 정신장애가 나타날 수 있습니다.","간경화, 신증후군",소화기내과
